conf_num z qprop_value
2 7 (0.0003372802059418521+1.055424923767496e-06j)
2 8 (0.0001305212796927675+1.1892913821668213e-06j)
2 9 (5.250398028153496e-05+1.4879482474563352e-06j)
2 10 (2.130540013885568e-05-2.1408221361522838e-07j)
2 11 (9.375297250910927e-06+1.2618521394132894e-07j)
2 12 (4.04130293119392e-06+5.992002031110156e-08j)
2 13 (1.767194981748063e-06-1.947878725343756e-08j)
2 14 (8.227647755570352e-07+4.66693516207082e-09j)
2 15 (3.926402868199573e-07-2.9828383554563496e-08j)
2 16 (1.7752309820710586e-07-1.6384411080482647e-08j)
2 17 (7.241755058375478e-08-5.884385897606792e-09j)
2 18 (3.217040314338654e-08-3.0341442807500126e-09j)
2 19 (1.5072764414557565e-08-8.506647612998413e-10j)
2 20 (7.102362665885537e-09-4.0464348655582026e-10j)
2 21 (3.391874068822947e-09-6.473108629261042e-10j)
2 22 (1.5495363842383829e-09-2.553829525774649e-10j)
2 23 (6.151679748026829e-10-1.3710073791280976e-10j)
2 24 (-1.1331612603052094e-11-5.546664345227255e-11j)
2 25 (-6.642981653222899e-10+8.245801538403413e-12j)
2 26 (-1.7000325740184544e-09+4.204896309628031e-11j)
2 27 (-3.946552831814087e-09-5.6715361208238386e-11j)
2 28 (-8.925152731066812e-09+3.259380758509809e-10j)
2 29 (-1.8844351339244156e-08+1.1516462235662314e-09j)
2 30 (-4.170998527535007e-08+1.9750587145222326e-09j)
2 31 (-8.973560088658614e-08+5.1492329750353245e-09j)
2 32 (-2.063577361149762e-07+5.515470228800093e-09j)
2 33 (-4.832090670195838e-07+3.209099873915597e-08j)
2 34 (-1.0701242587784314e-06+8.412521421685829e-08j)
2 35 (-2.28285695381595e-06+1.6415191127897133e-07j)
2 36 (-4.972746761932969e-06+2.8021932720588687e-07j)
2 37 (-1.0819152179050002e-05+4.099613193465761e-07j)
2 38 (-2.535756123512518e-05+1.1930834521650553e-06j)
2 39 (-5.5347185864556016e-05+2.909604718677485e-06j)
2 40 (-0.0001273172030150561+3.6009917372526317e-06j)
2 41 (-0.0003089652781700864+6.3998070253581125e-06j)
2 42 (-0.0008410111385561612+1.3310402224604636e-05j)
2 43 (-0.0024413677101344537+2.9956158559314213e-05j)
2 44 (-0.007664207717556529+0.00011486690025331488j)
2 45 (-0.02652936945722009-7.024528793812238e-05j)
2 46 (-0.10160303876960569-0.0007661324555790944j)
2 47 (-0.4115882895863328-0.0005749670493212233j)
3 0 (-1.3664495488454286e-14+0.00011505477034899561j)
3 1 (0.41109632369617055-0.00035408483181437265j)
3 2 (0.10118939830299771-0.0008773846465489348j)
3 3 (0.025978402868868686-0.0006077853394432708j)
3 4 (0.007295149217937211-0.0001316084535258404j)
3 5 (0.002330723998365016+3.2351083547805173e-06j)
